ID_1,Name,W1_mean,W1_sig,W2_mean,W2_sig,W4,W4_sig,Rad,Tdust,logLbol,LogMclump,logNH2,Dis,Fmax,Fmin,Var,Count,ref
806,336.703-0.099,11.755 ,0.053 ,9.334 ,0.017 ,1.906 ,0.033 ,0.19 ,22.5 ,2.66 ,2.04 ,22.22 ,2.64 ,3.0 ,3.0 ,1.0 ,1,MMB
827,337.263-0.070,9.314 ,0.018 ,8.699 ,0.015 ,2.309 ,0.026 ,1.17 ,20.7 ,3.79 ,3.34 ,22.23 ,11.74 ,1.1 ,1.1 ,1.0 ,1,MMB
833,337.632-0.079,11.290 ,0.052 ,9.003 ,0.018 ,0.075 ,0.036 ,0.58 ,24.4 ,3.61 ,2.85 ,22.62 ,11.67 ,13.6 ,13.0 ,1.0 ,2,"MMB,C95B"
850,338.325-0.409,11.449 ,0.065 ,8.094 ,0.014 ,2.022 ,0.027 ,0.45 ,19.9 ,3.01 ,2.44 ,22.42 ,2.56 ,1.3 ,1.3 ,1.0 ,1,MMB
867,338.935-0.062,7.892 ,0.018 ,5.931 ,0.016 ,-3.625 ,0.011 ,0.31 ,28.4 ,3.75 ,2.24 ,22.48 ,12.08 ,42.6 ,12.0 ,3.6 ,3,"MMB,C95B,G04"
872,339.294+0.139,12.009 ,0.184 ,10.286 ,0.046 ,2.920 ,0.041 ,0.23 ,19.7 ,3.19 ,2.58 ,22.41 ,10.09 ,5.8 ,5.8 ,1.0 ,1,MMB
885,340.034-1.110,12.456 ,0.104 ,9.090 ,0.015 ,2.901 ,0.025 ,0.23 ,17.1 ,2.58 ,2.44 ,22.65 ,2.47 ,8.3 ,8.3 ,1.0 ,1,MMB
888,340.182-0.047,10.435 ,0.030 ,8.645 ,0.017 ,1.402 ,0.035 ,1.04 ,22.9 ,3.97 ,3.20 ,22.28 ,8.88 ,2.5 ,2.5 ,1.0 ,1,MMB
889,340.249-0.046,8.173 ,0.025 ,5.923 ,0.027 ,-2.509 ,0.007 ,2.54 ,24.6 ,4.96 ,3.90 ,22.87 ,8.91 ,10.1 ,10.0 ,1.0 ,2,"MMB,W97"
891,340.518-0.152,10.923 ,0.041 ,9.513 ,0.021 ,1.995 ,0.027 ,0.33 ,20.8 ,2.67 ,2.26 ,21.95 ,2.81 ,7.6 ,7.6 ,1.0 ,1,MMB
898,341.238-0.270,11.870 ,0.058 ,8.680 ,0.014 ,1.736 ,0.024 ,0.74 ,17.6 ,3.41 ,3.08 ,22.93 ,4.22 ,6.5 ,6.5 ,1.0 ,1,MMB
903,342.251+0.308,8.851 ,0.017 ,6.995 ,0.013 ,-0.112 ,0.044 ,2.36 ,28.0 ,4.71 ,3.37 ,22.11 ,5.63 ,2.0 ,2.0 ,1.0 ,1,MMB
909,343.354-0.067,9.139 ,0.025 ,7.255 ,0.032 ,-1.402 ,0.010 ,3.17 ,24.0 ,5.32 ,4.07 ,22.70 ,9.64 ,20.3 ,20.3 ,1.0 ,1,MMB
912,343.929+0.125,12.616 ,0.105 ,10.190 ,0.023 ,2.016 ,0.025 ,0.83 ,29.3 ,4.90 ,3.46 ,22.20 ,16.90 ,12.0 ,8.8 ,1.4 ,3,"MMB,C95B,M92A"
914,344.419+0.044,7.741 ,0.018 ,5.104 ,0.094 ,1.803 ,--,--,--,--,--,--,11.38 ,2.3 ,2.3 ,1.0 ,1,MMB
918,345.003-0.224,9.998 ,0.021 ,5.836 ,0.016 ,--,--,0.75 ,--,--,--,--,2.75 ,448.0 ,119.0 ,3.8 ,6,"MMB,C95B,G04,M91,V11,W97"
922,345.198-0.030,12.315 ,0.085 ,10.113 ,0.022 ,0.985 ,0.021 ,0.07 ,24.8 ,2.17 ,1.14 ,22.14 ,1.30 ,3.0 ,2.2 ,1.3 ,2,"MMB,E07"
926,345.441+0.205,10.937 ,0.033 ,8.948 ,0.017 ,--,--,0.20 ,23.9 ,2.84 ,1.96 ,22.10 ,1.30 ,2.3 ,2.3 ,1.0 ,1,MMB
928,345.505+0.348,7.572 ,0.017 ,1.573 ,0.021 ,1.498 ,--,1.26 ,--,--,--,--,1.33 ,369.0 ,171.0 ,2.2 ,5,"MMB,G04,M91,V11,W97"
933,345.824+0.044,8.227 ,0.016 ,5.557 ,0.020 ,1.303 ,0.029 ,0.23 ,21.1 ,2.34 ,1.88 ,22.25 ,1.31 ,3.9 ,3.9 ,1.0 ,1,MMB
942,347.230+0.016,10.480 ,0.041 ,8.657 ,0.019 ,0.739 ,0.026 ,2.85 ,24.1 ,4.84 ,4.09 ,22.33 ,10.26 ,1.2 ,1.2 ,1.0 ,1,MMB
955,348.617-1.162,10.638 ,0.028 ,7.493 ,0.013 ,1.012 ,0.026 ,0.36 ,25.7 ,3.66 ,2.51 ,22.54 ,1.30 ,44.3 ,44.3 ,1.0 ,1,MMB
957,348.723-0.078,9.777 ,0.022 ,9.330 ,0.018 ,3.373 ,0.031 ,--,--,--,--,--,17.43 ,2.3 ,2.3 ,1.0 ,1,MMB
961,348.892-0.180,10.333 ,0.030 ,7.761 ,0.014 ,-1.443 ,0.009 ,--,31.3 ,--,--,22.61 ,17.31 ,2.4 ,2.0 ,1.2 ,3,"MMB,C95B,W97"
987,351.382-0.181,10.364 ,0.036 ,8.442 ,0.016 ,0.884 ,0.016 ,0.83 ,22.1 ,3.86 ,3.10 ,22.28 ,3.80 ,16.9 ,16.9 ,1.0 ,1,MMB
