ID_1,Name,Type,Period,Period_sig,amp,amp_sig,Frac_amp_1,Slope,Slope_sig,R^2,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Dis_err,Rad,Tdust,logLbol,logMclump,logNH2,Fmax,Fmin,Var,N,ref
882,339.949-0.539,SL,1618.3 ,179.1 ,-0.015 ,0.007 ,-0.014 ,5.22E-05,5.35E-06,0.85 ,11.462 ,0.171 ,7.764 ,0.076 ,0.143 ,1.330 ,-0.329 ,0.020 ,6.05 ,1.35 ,1.66 ,24.4 ,4.83 ,3.74 ,22.81 ,70.5 ,40.0 ,1.8 ,3,"MMB,M03,P05"
883,339.980-0.538,SL,1437.4 ,194.6 ,-0.012 ,0.006 ,-0.011 ,3.30E-05,5.00E-06,0.61 ,11.025 ,0.137 ,8.331 ,0.062 ,0.121 ,1.236 ,-1.392 ,0.027 ,7.82 ,2.82 ,1.46 ,31.0 ,4.97 ,3.44 ,22.40 ,8.0 ,8.0 ,1.0 ,1,MMB
886,340.054-0.244,SL,1405.2 ,177.8 ,0.048 ,0.020 ,0.045 ,7.63E-05,1.82E-05,0.80 ,10.152 ,0.301 ,6.369 ,0.154 ,0.340 ,1.333 ,--,--,10.40 ,0.76 ,1.23 ,30.8 ,5.11 ,3.32 ,23.22 ,45.9 ,44.0 ,1.0 ,2,"MMB,M92A"
890,340.249-0.372,SL,705.1 ,38.4 ,-0.036 ,0.015 ,-0.033 ,5.50E-05,1.30E-05,0.65 ,8.724 ,0.207 ,6.325 ,0.128 ,0.222 ,1.284 ,-2.614 ,0.009 ,4.30 ,1.36 ,1.42 ,21.4 ,4.48 ,3.59 ,23.07 ,0.8 ,0.8 ,1.0 ,1,PRS
892,340.543-0.162,SL,573.5 ,11.8 ,0.042 ,0.008 ,0.039 ,3.13E-05,6.36E-06,0.62 ,11.928 ,0.144 ,10.801 ,0.091 ,0.179 ,1.305 ,5.187 ,0.206 ,12.23 ,0.33 ,--,--,--,--,--,1.2 ,1.2 ,1.0 ,1,MMB
893,340.655-0.235,SL,777.0 ,8.5 ,0.075 ,0.007 ,0.072 ,5.25E-05,5.19E-06,0.70 ,13.342 ,0.398 ,9.385 ,0.088 ,0.305 ,2.150 ,3.923 ,0.088 ,2.55 ,0.33 ,0.58 ,17.4 ,3.36 ,3.21 ,22.27 ,1.3 ,1.3 ,1.0 ,1,MMB
897,341.218-0.212,SL,2757.9 ,1735.7 ,-0.138 ,0.109 ,-0.119 ,3.01E-04,1.68E-04,0.79 ,8.179 ,0.303 ,4.807 ,0.516 ,0.890 ,1.234 ,-1.190 ,0.025 ,2.68 ,0.27 ,0.47 ,25.9 ,4.03 ,2.78 ,22.93 ,167.0 ,125.6 ,1.3 ,3,"MMB,C95B,M92B"
916,344.581-0.024,SL,1481.5 ,45.9 ,0.063 ,0.007 ,0.059 ,2.59E-05,6.04E-06,0.74 ,10.973 ,0.123 ,7.450 ,0.078 ,0.189 ,1.311 ,-0.733 ,0.009 ,16.75 ,0.43 ,0.16 ,31.5 ,3.19 ,1.45 ,22.50 ,3.6 ,3.0 ,1.2 ,6,"MMB,C95B,M03,M91,P05,W97"
919,345.010+1.792,SL,1275.7 ,301.5 ,-0.059 ,0.047 ,-0.053 ,1.06E-04,4.16E-05,0.62 ,9.379 ,0.165 ,3.402 ,0.487 ,0.364 ,1.079 ,1.026 ,--,1.32 ,0.11 ,--,--,--,--,--,508.0 ,243.0 ,2.1 ,6,"MMB,C95B,M03,P05,V11,W97"
920,345.012+1.797,Sin,4051.7 ,895.2 ,-0.216 ,0.036 ,-0.181 ,--,--,0.78 ,11.054 ,0.263 ,5.940 ,0.402 ,0.630 ,1.269 ,3.474 ,--,1.29 ,0.11 ,--,--,--,--,--,34.0 ,31.0 ,1.1 ,2,"MMB,C95B"
943,347.583+0.213,Sin,2811.2 ,451.5 ,0.032 ,0.007 ,0.030 ,--,--,0.60 ,8.151 ,0.141 ,6.836 ,0.080 ,0.121 ,1.109 ,--,--,5.13 ,0.27 ,2.43 ,31.1 ,5.66 ,3.87 ,22.69 ,3.2 ,3.2 ,1.0 ,1,MMB
947,347.863+0.019,Sin,18039.6 ,224169.0 ,2.000 ,48.723 ,5.310 ,--,--,0.76 ,8.390 ,0.276 ,6.281 ,0.185 ,0.409 ,1.409 ,0.682 ,0.025 ,11.87 ,0.41 ,--,--,--,--,--,7.2 ,6.4 ,1.1 ,3,"MMB,C95B,P05"
948,347.902+0.052,SL,727.9 ,42.2 ,-0.031 ,0.014 ,-0.028 ,7.04E-05,1.13E-05,0.79 ,8.238 ,0.125 ,6.379 ,0.143 ,0.224 ,1.300 ,--,--,11.90 ,0.40 ,--,--,--,--,--,5.5 ,5.5 ,1.0 ,1,MMB
