ID_1,Name,type,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Rad,T_dust,L_bol,LogM,LogNH2,Fmax,Fmin,Var,Count,ref
848,338.280+0.542,Irregular,11.384 ,0.048 ,8.587 ,0.018 ,1.497 ,1.392 ,0.029 ,0.016 ,4.45 ,0.75 ,18.8 ,3.62 ,3.09 ,22.81 ,6.9 ,5.0 ,1.4 ,3,"MMB,C95B,P05"
861,338.875-0.084,Drop,7.839 ,0.041 ,5.088 ,0.038 ,1.431 ,1.333 ,--,--,12.07 ,0.15 ,30.8 ,3.20 ,1.48 ,21.69 ,21.2 ,19.0 ,1.1 ,3,"MMB,C95B,P05"
862,338.902+0.394,Drop,11.667 ,0.069 ,9.829 ,0.027 ,0.134 ,1.172 ,1.689 ,0.029 ,2.55 ,0.23 ,23.6 ,2.65 ,2.10 ,22.27 ,1.7 ,1.7 ,1.0 ,1,MMB
870,339.204-0.018,Irregular,12.255 ,0.133 ,10.352 ,0.031 ,0.174 ,2.173 ,--,--,1.23 ,0.09 ,18.0 ,1.69 ,1.37 ,22.30 ,2.4 ,2.4 ,1.0 ,1,MMB
876,339.622-0.121,Irregular,7.487 ,0.018 ,2.697 ,0.014 ,1.116 ,1.183 ,-2.092 ,0.005 ,12.27 ,0.54 ,24.6 ,3.87 ,2.75 ,22.80 ,96.1 ,83.0 ,1.2 ,5,"MMB,C95B,G04,P05,W97"
880,339.884-1.259,Drop,8.577 ,0.019 ,3.161 ,0.015 ,0.540 ,1.166 ,-3.318 ,0.002 ,2.58 ,0.55 ,--,--,--,--,1980.0 ,1460.0 ,1.4 ,7,"MMB,C95B,E07,G04,M92B,V11,W97"
881,339.909+0.240,Irregular,13.441 ,0.278 ,11.264 ,0.048 ,0.135 ,1.380 ,4.273 ,0.068 ,1.24 ,0.05 ,16.7 ,1.81 ,1.89 ,22.44 ,1.1 ,1.1 ,1.0 ,1,MMB
899,341.276+0.062,Burst,11.044 ,0.060 ,7.087 ,0.014 ,0.606 ,3.063 ,--,--,10.68 ,0.48 ,26.9 ,4.34 ,2.96 ,22.26 ,5.5 ,5.0 ,1.1 ,3,"MMB,C95B,P05"
908,342.954-0.019,Irregular,12.664 ,0.076 ,11.687 ,0.046 ,0.327 ,2.640 ,6.099 ,0.213 ,16.43 ,--,18.4 ,--,--,22.13 ,2.1 ,2.1 ,1.0 ,1,MMB
910,343.502-0.472,Irregular,11.114 ,0.030 ,7.422 ,0.015 ,0.340 ,1.933 ,--,--,2.74 ,0.35 ,23.7 ,3.27 ,2.21 ,22.53 ,4.5 ,4.5 ,1.0 ,1,MMB
911,343.756-0.163,Drop,12.765 ,0.087 ,10.249 ,0.025 ,0.331 ,1.355 ,1.715 ,0.024 ,2.60 ,0.62 ,20.8 ,3.81 ,3.12 ,23.42 ,3.5 ,3.5 ,1.0 ,1,MMB
915,344.421+0.045,Irregular,6.307 ,0.024 ,3.224 ,0.032 ,1.049 ,1.199 ,--,--,9.87 ,1.84 ,29.1 ,5.39 ,3.62 ,22.86 ,16.7 ,16.0 ,1.0 ,4,"MMB,C95B,P05,W97"
921,345.131-0.174,Irregular,11.772 ,0.048 ,8.774 ,0.016 ,0.371 ,2.194 ,2.424 ,0.024 ,2.71 ,0.28 ,19.6 ,2.45 ,2.14 ,22.68 ,4.4 ,4.4 ,1.0 ,1,MMB
935,345.985-0.020,Irregular,13.604 ,0.329 ,9.617 ,0.024 ,0.192 ,1.868 ,2.365 ,0.025 ,10.09 ,0.77 ,24.7 ,3.85 ,2.84 ,22.36 ,1.4 ,1.4 ,1.0 ,1,MMB
936,346.036+0.048,Irregular,11.977 ,0.057 ,9.652 ,0.017 ,0.392 ,1.668 ,2.181 ,0.020 ,1.31 ,1.10 ,27.8 ,4.47 ,3.27 ,22.02 ,10.4 ,10.4 ,1.0 ,1,MMB
937,346.231+0.119,Irregular,13.412 ,0.217 ,10.174 ,0.024 ,0.145 ,1.391 ,4.793 ,0.050 ,8.13 ,0.73 ,24.0 ,3.87 ,3.07 ,22.17 ,1.4 ,1.4 ,1.0 ,1,MMB
939,346.481+0.132,Irregular,10.514 ,0.024 ,7.355 ,0.013 ,0.227 ,3.238 ,0.264 ,0.014 ,1.31 ,0.18 ,20.2 ,2.31 ,1.59 ,22.43 ,5.6 ,1.5 ,3.8 ,4,"MMB,C95B,G93,P05"
941,346.522+0.085,Irregular,10.026 ,0.021 ,8.079 ,0.014 ,0.282 ,1.278 ,-1.806 ,0.013 ,17.08 ,2.93 ,28.1 ,5.49 ,4.07 ,22.54 ,1.8 ,1.5 ,1.2 ,4,"MMB,C95B,P05,W97"
949,348.027+0.106,Irregular,13.103 ,0.205 ,10.014 ,0.021 ,0.447 ,2.694 ,3.743 ,0.040 ,10.30 ,--,--,--,--,--,4.5 ,4.5 ,1.0 ,1,MMB
